,6p_Dollar,6p_Cents,6p_def_Dollar,6p_def_Cents,3p_Dollar,3p_Cents,town,state,occupation,Name,county,geo_level,6p_total
205,374.0,18.0,187.0,9.0,248.0,93.0,Tyringham MA,MA,,['Adonijah Bidwell'],Berkshire County,town,374.18
206,102.0,70.0,51.0,35.0,27.0,66.0,Wethersfield,CT,,['Samuel Foster'],Hartford County,town,102.7
207,664.0,95.0,332.0,47.0,179.0,53.0,Milford,CT,,['Juliana Buckingham'],New Haven County,town,664.95
208,188.0,61.0,94.0,31.0,96.0,,Hartford,CT,Treasurer,"['Jonathan Bull Treasurer and Co', 'Jonathan Bull']",Hartford County,town,188.61
209,262.0,78.0,131.0,39.0,93.0,40.0,Stamford,CT,Attorney at Law,['John Davenport'],Fairfield County,town,262.78
210,822.0,93.0,411.0,47.0,324.0,,Hartford,CT,,['Charles Wadsworth'],Hartford County,town,822.93
211,303.0,15.0,151.0,58.0,89.0,25.0,Milford,CT,,['Gideon Buckingham'],New Haven County,town,303.15
212,126.0,16.0,63.0,8.0,154.0,,Pomfret,CT,,['Joshua Grosvenor'],Windham County,town,126.16
213,327.0,59.0,163.0,80.0,164.0,8.0,Glastonbury,CT,,['Elisha Hale'],Hartford County,town,327.59
214,462.0,30.0,231.0,15.0,332.0,85.0,Wethersfield,CT,,['John Williams'],Hartford County,town,462.3
215,1924.0,93.0,962.0,46.0,1220.0,3.0,Pomfret,CT,,['Thomas Grosvenor'],Windham County,town,1924.93
216,600.0,0.0,300.0,,162.0,,Middletown,CT,,"['Esther Phillips', 'Esther Philips']",Middlesex County,town,600.0
217,200.0,0.0,100.0,,54.0,,Middletown,CT,,['Hope Warner'],Middlesex County,town,200.0
218,15.0,47.0,7.0,74.0,,,New Haven,CT,,['Joseph Munson'],New Haven County,town,15.47
219,150.0,47.0,75.0,23.0,173.0,92.0,Wethersfield,CT,,"['Joseph Bulkley', 'Joseph Buckley']",Hartford County,town,150.47
220,20.0,33.0,10.0,17.0,,,New Haven,CT,,['Simeon Jocelin'],New Haven County,town,20.33
221,549.0,89.0,274.0,94.0,528.0,,Wethersfield,CT,,['Asiel Meraman'],Hartford County,town,549.89
222,266.0,66.0,133.0,34.0,278.0,,Farmington,CT,,['Elisha Miller'],Hartford County,town,266.66
223,446.0,1.0,223.0,1.0,240.0,,New London,CT,,"['Gurdon Saltonstall', 'Gurdon Sattonstall']",New London County,town,446.01
224,268.0,85.0,134.0,43.0,270.0,14.0,Killingworth,CT,,['Abraham Pierson'],Middlesex County,town,268.85
